correctness,confidence,entropy,modified entropy,scaled logits,membership
1,0.99999964,-5.7153966e-06,-1.8908185e-13,14.843773,1
1,0.999998,-2.9631155e-05,-8.453243e-12,13.10917,1
1,0.9999757,-0.00031028883,-8.3233614e-10,10.624241,1
1,0.9997102,-0.0028355778,-1.3215299e-07,8.146037,1
1,0.99991554,-0.0010248991,-8.515489e-09,9.37915,1
1,0.99992466,-0.00081466074,-1.05926325e-08,9.493421,1
1,0.9999721,-0.00034677773,-1.1216017e-09,10.487036,1
1,0.9999991,-1.3513665e-05,-1.124301e-12,13.927482,1
1,0.99996674,-0.00037978802,-2.1463233e-09,10.31114,1
1,0.989547,-0.07486141,-0.00013652623,4.5503597,1
0,0.016603952,-0.6563399,-5.660761,-4.0813713,1
1,0.99910855,-0.008193298,-1.1480047e-06,7.021773,1
0,0.017630465,-0.08873082,-7.933585,-4.020339,1
1,0.99999934,-9.869444e-06,-7.2063015e-13,14.237637,1
1,0.9999894,-0.00014608669,-1.6152286e-10,11.453738,1
1,0.99983454,-0.0018054241,-3.8519133e-08,8.7066,1
1,0.9998838,-0.0012459904,-2.0898705e-08,9.059832,1
1,0.9997696,-0.002369983,-8.1531454e-08,8.375585,1
1,0.99968386,-0.0030058057,-1.8090972e-07,8.059,1
1,0.9999855,-0.0001876917,-3.566697e-10,11.142456,1
1,0.9867715,-0.07391952,-0.00033463462,4.3120666,1
1,0.99305683,-0.048567597,-7.2358336e-05,4.96303,1
1,0.99955565,-0.004421279,-2.8236244e-07,7.7184477,1
1,0.9998495,-0.001616088,-3.4437974e-08,8.801386,1
1,0.9999906,-0.00012931346,-1.2238721e-10,11.572927,1
0,0.19538581,-0.5160667,-2.6115766,-1.4153868,1
1,0.9990268,-0.008220622,-1.6399878e-06,6.933922,1
1,0.99999905,-1.534763e-05,-1.2828923e-12,13.862943,1
1,0.99951255,-0.0047166105,-3.6787114e-07,7.625842,1
1,0.99973804,-0.0025905066,-1.1532336e-07,8.247047,1
0,0.0011976927,-0.018185386,-12.776058,-6.72616,1
1,0.9998718,-0.0013465522,-2.830036e-08,8.961716,1
0,0.25570574,-0.6548088,-1.9590725,-1.0684092,1
1,0.99995327,-0.0005462827,-3.6139598e-09,9.971077,1
1,0.90144825,-0.3294451,-0.020151898,2.2134209,1
1,0.9975048,-0.018278144,-1.1745948e-05,5.990876,1
1,0.9840307,-0.10647394,-0.00032716588,4.1209903,1
1,0.99387914,-0.040543888,-6.590549e-05,5.089913,1
1,0.9999716,-0.00035766518,-1.107998e-09,10.470086,1
0,0.00029115775,-0.051255397,-12.922442,-8.141355,1
1,0.98588836,-0.08402406,-0.00030056588,4.2465434,1
1,0.9991853,-0.006744327,-1.2898764e-06,7.1119046,1
1,0.99998665,-0.00018064328,-2.5085062e-10,11.223873,1
0,0.00013096277,-0.0071867607,-16.046719,-8.940467,1
1,0.9999726,-0.00035346032,-9.902417e-10,10.504278,1
1,0.9999991,-1.2377963e-05,-1.2533392e-12,13.927482,1
1,0.9926779,-0.053835314,-6.890691e-05,4.909513,1
1,0.99999905,-1.4766764e-05,-1.4258285e-12,13.862943,1
1,0.98950297,-0.06525868,-0.00017030697,4.54611,1
1,0.99970615,-0.0031098342,-1.1105155e-07,8.132144,1
1,0.874416,-0.39216125,-0.033044755,1.9405813,1
1,0.8747778,-0.4583424,-0.026257988,1.9438801,1
1,0.9999991,-1.32653995e-05,-1.0068172e-12,13.927482,1
1,0.74204844,-0.6768125,-0.13582115,1.0566428,1
1,1.0,-8.7624066e-08,-0.0,inf,1
0,0.0010380812,-0.008603118,-13.689581,-6.869343,1
0,0.12695032,-1.0796069,-2.285666,-1.9281967,1
1,0.9999282,-0.0008189519,-8.251891e-09,9.541225,1
1,0.46063623,-0.98925906,-0.69609135,-0.15778154,1
1,0.9999939,-8.199157e-05,-6.526062e-11,12.010553,1
0,0.32053697,-0.73938197,-1.4853904,-0.7513052,1
0,4.021532e-05,-0.05629887,-14.77546,-10.1212225,1
1,0.9956208,-0.029056553,-3.691027e-05,5.4264975,1
1,0.99996436,-0.00042526075,-2.1244686e-09,10.241906,1
0,0.0711197,-0.5583472,-4.0028563,-2.5696154,1
0,0.00062034646,-0.03523076,-12.738384,-7.384612,1
1,0.99650383,-0.025370147,-2.075191e-05,5.652585,1
1,0.9952517,-0.035101347,-3.4659926e-05,5.345212,1
0,0.00031000405,-0.47426254,-9.518008,-8.078615,1
1,1.0,-1.0176959e-06,-1.954331e-15,inf,1
1,0.9998536,-0.0016080159,-3.098175e-08,8.829097,1
1,0.9994091,-0.005733371,-4.7463536e-07,7.433238,1
0,0.19682923,-0.5129258,-2.5988386,-1.4062309,1
0,6.361474e-05,-0.69373155,-10.560571,-9.662601,1
1,0.99999845,-2.2109654e-05,-4.4206496e-12,13.377435,1
0,0.024329906,-0.38688317,-5.913239,-3.6914182,1
0,9.019439e-07,-0.0016982189,-22.722885,-13.918713,1
1,0.6113938,-0.98145795,-0.30190286,0.4531748,1
1,0.999965,-0.00041856332,-2.0358046e-09,10.260472,1
1,0.9999974,-4.0330884e-05,-1.0089835e-11,12.85134,1
1,0.7576566,-0.5550811,-0.13443275,1.1398745,1
1,0.9999664,-0.00039830274,-1.9595485e-09,10.300445,1
0,0.07186398,-0.31404787,-4.746569,-2.558403,1
1,0.9998991,-0.001122127,-1.5123131e-08,9.201174,1
1,0.9978477,-0.0160531,-8.680764e-06,6.1390524,1
1,0.9976776,-0.018834092,-7.892386e-06,6.0628395,1
1,0.9999702,-0.00036488258,-1.4238893e-09,10.420895,1
1,0.9999995,-8.652225e-06,-3.7989357e-13,14.55609,1
1,0.9999906,-0.00012927309,-1.3055441e-10,11.572927,1
1,0.9997256,-0.002544026,-1.4917484e-07,8.200577,1
1,0.66012824,-1.1701533,-0.17489804,0.66386575,1
1,0.999989,-0.0001473974,-1.808815e-10,11.415166,1
1,0.96379066,-0.20587838,-0.0017129444,3.2815568,1
1,0.99869174,-0.010113522,-3.3645028e-06,6.6377463,1
1,0.9999991,-1.3741105e-05,-1.3120815e-12,13.927482,1
0,0.00079334556,-0.008061865,-14.089018,-7.1384583,1
1,0.99999964,-5.9506347e-06,-1.814276e-13,14.843773,1
1,0.9995765,-0.00401409,-2.9323436e-07,7.766555,1
1,0.99999857,-2.2399567e-05,-3.6503808e-12,13.457478,1
0,0.19191748,-1.7615298,-1.5195551,-1.4375987,1
0,6.690116e-05,-0.0013349948,-18.630795,-9.612227,1
0,0.0031420798,-0.064777486,-10.36873,-5.759723,1
1,0.9953393,-0.031007277,-4.1162464e-05,5.3639126,1
1,0.9989608,-0.008948394,-1.7428926e-06,6.8682575,1
1,0.9999042,-0.0010615579,-1.4156517e-08,9.253312,1
1,0.9997496,-0.00232684,-1.2538666e-07,8.292204,1
1,0.9999991,-1.3618235e-05,-1.0761137e-12,13.927482,1
1,0.99993294,-0.000741857,-8.0815274e-09,9.609927,1
1,0.99999493,-7.676242e-05,-3.24266e-11,12.192876,1
1,0.9999995,-7.251448e-06,-2.9749732e-13,14.55609,1
1,0.99945027,-0.0046884054,-6.025433e-07,7.505527,1
0,0.0181948,-1.6107827,-4.208353,-3.9882572,1
1,0.99920815,-0.006560348,-1.2220748e-06,7.1403494,1
1,0.99999964,-7.078459e-06,-1.8696733e-13,14.843773,1
0,0.012990824,-0.41378686,-6.141101,-4.330436,1
1,0.99956137,-0.004487981,-2.441161e-07,7.7314143,1
1,0.9974607,-0.017981993,-1.266346e-05,5.9733334,1
1,0.9997512,-0.0023705617,-1.1901314e-07,8.298654,1
1,0.99997246,-0.0003244044,-1.431682e-09,10.49994,1
1,0.9997369,-0.0027284073,-1.0320899e-07,8.242733,1
0,3.401478e-07,-0.00036171748,-25.351168,-14.893886,1
1,0.999987,-0.00017110856,-2.5130878e-10,11.251024,1
0,4.044154e-05,-0.2013431,-13.247361,-10.115613,1
1,0.99990445,-0.0010439301,-1.533369e-08,9.255805,1
1,0.9942477,-0.042007815,-4.9274517e-05,5.1523824,1
1,0.99987566,-0.0012702431,-2.9348596e-08,8.992404,1
1,1.0,-3.336519e-07,-0.0,inf,1
1,0.99999857,-2.1259859e-05,-3.2797105e-12,13.457478,1
1,0.51245946,-0.70418245,-0.6494218,0.049848136,1
1,0.95011264,-0.25488818,-0.0035237817,2.9468129,1
1,0.66667247,-0.67191124,-0.26430732,0.6931733,1
0,0.00020598462,-0.08624391,-12.5236025,-8.487503,1
1,0.99975485,-0.002375864,-1.1037599e-07,8.313379,1
1,0.99877876,-0.009825581,-2.801175e-06,6.706667,1
1,0.9999957,-5.7902176e-05,-3.6896552e-11,12.358862,1
1,0.9996734,-0.003051952,-1.9736129e-07,8.026527,1
1,0.9766623,-0.13263407,-0.00078670745,3.7340698,1
1,0.99992627,-0.0008613494,-7.9783415e-09,9.515015,1
1,0.999934,-0.00077070453,-6.1279537e-09,9.626058,1
1,0.9999944,-8.059226e-05,-4.355106e-11,12.092232,1
1,0.975956,-0.13554615,-0.0008892209,3.703533,1
0,0.0007251651,-1.7563874,-7.4480863,-7.228386,1
1,0.9968318,-0.022771083,-1.7512433e-05,5.7514105,1
1,0.99999976,-4.2765505e-06,-6.9014517e-14,15.249238,1
1,0.9999882,-0.00015785512,-2.039982e-10,11.347254,1
1,0.9997992,-0.0021852516,-5.323391e-08,8.51296,1
1,0.6103003,-1.0705745,-0.25890645,0.44857463,1
1,0.9999845,-0.00019993896,-3.7856657e-10,11.074835,1
1,0.9851413,-0.07769538,-0.00044316996,4.194198,1
1,0.75873405,-0.76024246,-0.10293758,1.1457515,1
1,0.99999666,-4.72354e-05,-1.7369713e-11,12.610177,1
0,5.170601e-06,-0.00048263348,-22.3063,-12.172517,1
1,0.9939807,-0.043296684,-5.1708877e-05,5.1067476,1
1,0.99999464,-7.090085e-05,-5.5763668e-11,12.135717,1
1,0.99999714,-4.3112617e-05,-1.05702105e-11,12.764328,1
1,0.84967893,-0.4314769,-0.04854087,1.7320851,1
1,0.99972963,-0.0026104408,-1.3215234e-07,8.215461,1
1,0.6938513,-0.61785805,-0.22361374,0.81818676,1
1,0.9999626,-0.0004257055,-2.6949114e-09,10.194549,1
1,0.9997871,-0.0020720381,-8.5309665e-08,8.454438,1
1,1.0,-1.3083667e-06,-2.269456e-15,inf,1
1,0.9999964,-5.3167227e-05,-1.625963e-11,12.541184,1
1,0.9523918,-0.19661799,-0.0045678313,2.9959717,1
0,0.08913944,-0.3019906,-4.4022255,-2.324188,1
1,0.99994856,-0.0006426432,-3.2421192e-09,9.875066,1
1,0.99999624,-5.435575e-05,-2.0250667e-11,12.4923935,1
1,0.99999964,-5.173362e-06,-1.507364e-13,14.843773,1
1,0.99994,-0.0007063001,-5.1321507e-09,9.720741,1
1,0.99998915,-0.00014166639,-2.1252182e-10,11.431515,1
1,0.6925269,-0.7403169,-0.19787471,0.8119593,1
1,0.9999926,-0.00010155866,-7.904243e-11,11.815244,1
1,0.9999751,-0.00031599562,-9.0791363e-10,10.600026,1
0,0.00019049173,-0.0819546,-12.667196,-8.565711,1
1,0.991788,-0.04770969,-0.00013521913,4.7939167,1
1,0.9999974,-3.875126e-05,-1.1142037e-11,12.85134,1
1,0.99382025,-0.04211077,-5.864423e-05,5.0802784,1
0,0.38455978,-0.88336056,-1.0422466,-0.47023866,1
1,0.999984,-0.00020173876,-4.3409526e-10,11.044529,1
1,0.99998796,-0.00016683561,-1.8958331e-10,11.327252,1
