correctness,confidence,entropy,modified entropy,scaled logits,membership
1,0.9999968,-4.3749573e-05,-2.0363121e-11,12.646545,1
1,0.9855393,-0.075629845,-0.0004212408,4.2217555,1
1,0.9999819,-0.00024254854,-4.1622472e-10,10.918487,1
1,0.99998254,-0.00023478243,-3.8773199e-10,10.955342,1
0,0.3077638,-1.5988702,-0.9991405,-0.8105947,1
1,0.9999319,-0.0008079081,-6.682648e-09,9.594052,1
0,0.08182739,-1.5621068,-2.5884268,-2.4177735,1
1,0.9999122,-0.0009388814,-1.426349e-08,9.340388,1
1,0.9999993,-1.1746875e-05,-6.818739e-13,14.150625,1
1,0.98416835,-0.08636991,-0.00046326738,4.129786,1
0,0.003785513,-0.9089308,-6.467918,-5.572781,1
1,0.9999988,-1.8970006e-05,-2.56445e-12,13.639799,1
1,0.99998415,-0.00021248103,-3.3427922e-10,11.05202,1
1,0.9999999,-1.8806849e-06,-2.5248058e-14,15.942385,1
1,0.99934417,-0.005714143,-7.834541e-07,7.3289533,1
1,0.98711807,-0.08162324,-0.0002426937,4.3389635,1
0,0.0029790322,-0.026594175,-11.364199,-5.8131733,1
0,0.42887276,-0.69442695,-0.9640474,-0.28645173,1
1,0.93305814,-0.33753827,-0.0062689427,2.634643,1
0,0.0821576,-0.6797207,-3.7278743,-2.4133863,1
1,0.99999666,-4.7684283e-05,-1.700037e-11,12.610177,1
0,0.009919194,-0.41699097,-6.7502613,-4.603315,1
1,0.9999107,-0.0009896981,-1.20673995e-08,9.323557,1
1,0.9998912,-0.0012082433,-1.7148956e-08,9.126088,1
1,0.97281206,-0.12486478,-0.0014986381,3.5774174,1
0,0.00018779024,-0.3408086,-10.714739,-8.579997,1
1,0.9999708,-0.00035344402,-1.4265864e-09,10.441097,1
1,0.9998876,-0.0012185308,-2.1292571e-08,9.093206,1
1,0.7869498,-0.7837704,-0.06814149,1.3066367,1
1,0.6342373,-0.6755767,-0.33041304,0.55043834,1
1,0.9999988,-1.778341e-05,-2.0201447e-12,13.639799,1
0,0.0509777,-1.1107097,-3.4453835,-2.9240441,1
1,0.9997203,-0.0029068962,-1.0961975e-07,8.181425,1
1,0.99991524,-0.000979102,-1.0057268e-08,9.3756275,1
1,0.9999614,-0.00046899114,-2.2456714e-09,10.161603,1
1,0.99964404,-0.0032376898,-2.4659897e-07,7.940339,1
1,0.932582,-0.25089347,-0.009310071,2.6270454,1
0,8.851742e-06,-0.028887248,-17.130438,-11.634888,1
0,0.0008919054,-0.0466133,-11.907466,-7.0212584,1
0,0.0017121505,-0.013380257,-12.677264,-6.3682914,1
0,0.00012538598,-0.041698556,-14.132311,-8.983989,1
0,1.3908757e-05,-0.0002556757,-21.98042,-11.182978,1
1,0.99993706,-0.0007689779,-4.9637237e-09,9.673226,1
1,0.99838054,-0.012851667,-4.483699e-06,6.4240427,1
0,0.0017529544,-1.0260578,-6.8433356,-6.344698,1
1,0.99995804,-0.00048875745,-2.9510603e-09,10.078712,1
1,0.5500096,-0.9789792,-0.4053374,0.20070949,1
1,0.9999922,-0.000104717314,-1.1241205e-10,11.760327,1
0,0.105922505,-0.36506814,-3.9785657,-2.1330848,1
0,0.002467929,-1.0062507,-6.712313,-6.001905,1
1,0.9999987,-2.0058667e-05,-2.2554708e-12,13.544489,1
1,0.9999922,-0.00010584354,-1.0119092e-10,11.760327,1
0,0.023620602,-0.2034379,-6.786457,-3.721732,1
1,0.9974351,-0.020751249,-9.163345e-06,5.963265,1
1,0.9995686,-0.003943481,-3.3686317e-07,7.7480006,1
1,0.9999917,-0.00011421998,-9.9808634e-11,11.70105,1
0,0.45677263,-0.7712401,-0.81987375,-0.1733422,1
1,0.9999974,-3.9266186e-05,-9.45587e-12,12.85134,1
1,0.99999493,-7.498161e-05,-3.449664e-11,12.192876,1
1,1.0,-5.667926e-09,-0.0,inf,1
1,0.9997694,-0.0023114337,-9.1781764e-08,8.37455,1
1,0.9894075,-0.063461795,-0.00020496572,4.536958,1
1,0.9999735,-0.000337226,-9.907364e-10,10.537432,1
1,0.99997795,-0.00027796565,-7.743808e-10,10.722008,1
1,0.99993825,-0.0007502778,-4.963223e-09,9.6923485,1
1,0.9988888,-0.008993566,-2.3095774e-06,6.8011947,1
0,0.0002636886,-0.15704685,-11.516139,-8.240478,1
1,0.998909,-0.00853308,-2.3816033e-06,6.819566,1
0,0.0003096191,-0.4752012,-9.639753,-8.079858,1
1,0.9984825,-0.011565181,-4.487092e-06,6.489189,1
1,0.9999922,-0.0001114943,-8.151509e-11,11.760327,1
1,0.99997663,-0.00029989908,-8.0309037e-10,10.6642475,1
1,0.9999987,-2.0723102e-05,-2.2851818e-12,13.544489,1
1,0.999996,-5.780262e-05,-2.2366059e-11,12.430836,1
0,0.045268137,-0.976073,-3.9004233,-3.0488272,1
1,0.99992263,-0.0008987455,-8.209507e-09,9.466875,1
1,0.9999629,-0.00047002913,-1.8228925e-09,10.202555,1
1,0.99999344,-8.9552545e-05,-7.341866e-11,11.935045,1
1,0.9996982,-0.002854476,-1.685235e-07,8.105516,1
0,1.7649295e-07,-0.0005623505,-25.515549,-15.549985,1
1,1.0,-1.1724515e-08,-0.0,inf,1
1,0.9999727,-0.00032074095,-1.4067559e-09,10.5086355,1
0,8.663806e-09,-7.119551e-05,-30.756931,-18.564112,1
1,0.99994427,-0.0006497358,-4.5807242e-09,9.79493,1
1,0.9999788,-0.00026702226,-7.029791e-10,10.76058,1
1,0.99999607,-5.6123285e-05,-2.460786e-11,12.445873,1
1,0.9999926,-0.000103016166,-7.5564194e-11,11.815244,1
1,0.9999757,-0.00030606476,-8.5945e-10,10.624241,1
1,0.9999944,-8.4354986e-05,-3.7605297e-11,12.092232,1
1,0.999987,-0.00017798437,-2.1163976e-10,11.251024,1
0,0.014163936,-0.50396293,-6.0511165,-4.242791,1
0,1.20744835e-05,-0.65592885,-12.905916,-11.324404,1
1,0.99895656,-0.008332392,-2.139041e-06,6.864189,1
0,0.22005446,-0.8167371,-2.0577126,-1.265349,1
1,0.9999924,-0.00010207137,-1.0281139e-10,11.783494,1
1,0.5238919,-0.7362208,-0.60328686,0.09564057,1
0,0.0010301805,-0.41328895,-8.920587,-6.8769903,1
1,0.99799496,-0.0150615685,-7.426016e-06,6.210084,1
1,0.8505205,-0.45876965,-0.046063554,1.7386892,1
1,0.9993753,-0.0061079743,-5.129079e-07,7.3775883,1
